0.4 	 5.9269655517015165e-05 	 5.716476763000132e-06
0.41667 	 5.434977416482027e-05 	 4.942749731430634e-06
0.43478 	 4.940282256456896e-05 	 4.217131999301303e-06
0.45455 	 4.4565918648941386e-05 	 3.5595584548038504e-06
0.47619 	 4.005601470446322e-05 	 2.9735659723407686e-06
0.5 	 3.5687155053689485e-05 	 2.455549678323939e-06
0.52632 	 3.228299169420365e-05 	 2.004561813534836e-06
0.55556 	 2.8998740818528378e-05 	 1.619786331754996e-06
0.58824 	 2.5810050720125723e-05 	 1.2901433902092836e-06
0.625 	 2.342792108555341e-05 	 1.0124425002358996e-06
0.66667 	 2.1362317496247544e-05 	 7.835554739141805e-07
0.71429 	 1.92225126260704e-05 	 5.958700315708566e-07
0.76923 	 1.711138493352492e-05 	 4.435897196421498e-07
0.83333 	 1.5189087093845134e-05 	 3.2200345292679055e-07
0.90909 	 1.3599757850018534e-05 	 2.270017099666537e-07
1.0 	 1.2577162235620622e-05 	 1.544116391875265e-07
1.0101 	 1.2554631205329235e-05 	 1.482879061863497e-07
1.0204 	 1.2532924185900348e-05 	 1.4237685655191067e-07
1.0309 	 1.2511695555972703e-05 	 1.3665138736219568e-07
1.0417 	 1.2491808988112163e-05 	 1.3108227687888327e-07
1.0526 	 1.247092517407921e-05 	 1.257464783036649e-07
1.0638 	 1.2442628807824688e-05 	 1.2054324958961093e-07
1.0753 	 1.2414500914357885e-05 	 1.1549755902602131e-07
1.087 	 1.2386152303972014e-05 	 1.1063245137843149e-07
1.0989 	 1.2359489772766703e-05 	 1.0594458868379362e-07
1.1111 	 1.2333983694991996e-05 	 1.0139378371367778e-07
1.1236 	 1.2307782070017753e-05 	 9.699830542788779e-08
1.1364 	 1.2283734085010773e-05 	 9.272605336795915e-08
1.1494 	 1.2260048348210309e-05 	 8.865552364441124e-08
1.1628 	 1.2228688196349057e-05 	 8.467585090268395e-08
1.1765 	 1.2195256119912884e-05 	 8.084906157000906e-08
1.1905 	 1.216275390891399e-05 	 7.7159551262964e-08
1.2048 	 1.2131933568964586e-05 	 7.360611890442388e-08
1.2195 	 1.2103081419056319e-05 	 7.016418238034593e-08
1.2346 	 1.2075713195821851e-05 	 6.684704517784649e-08
1.25 	 1.204904456665014e-05 	 6.365318517894074e-08
1.2658 	 1.2046268241594543e-05 	 6.058406672665277e-08
1.2821 	 1.2043671545817391e-05 	 5.761900128906749e-08
1.2987 	 1.2037941531700656e-05 	 5.479310424512976e-08
1.3158 	 1.2032087813505563e-05 	 5.207845669521797e-08
1.3333 	 1.2025315367452687e-05 	 4.9472489670478235e-08
1.3514 	 1.2009040297650084e-05 	 4.69770989869614e-08
1.3699 	 1.1916701829686099e-05 	 4.459096253532318e-08
1.3889 	 1.1823202978048569e-05 	 4.228169864252362e-08
1.4085 	 1.172854971637946e-05 	 4.005367475801197e-08
1.4286 	 1.1634197592565388e-05 	 3.79192991599002e-08
1.4493 	 1.1537660573756426e-05 	 3.589133550537785e-08
1.4706 	 1.134425934061288e-05 	 3.394534045635271e-08
1.4925 	 1.114999994119424e-05 	 3.205871245970957e-08
1.5152 	 1.0954273605527793e-05 	 3.023393673369913e-08
1.5385 	 1.0756781363666553e-05 	 2.8493930220949598e-08
1.5625 	 1.0560788124740897e-05 	 2.6826106368598006e-08
1.5873 	 1.0365398701631334e-05 	 2.522462588624806e-08
1.6129 	 1.016918960423891e-05 	 2.369475044005728e-08
1.6393 	 9.973314621071013e-06 	 2.2232937302777166e-08
1.6667 	 9.794743039500366e-06 	 2.0829962312459906e-08
1.6949 	 9.627673004540014e-06 	 1.9503218098822142e-08
1.7241 	 9.460843233471413e-06 	 1.8238813785227595e-08
1.7544 	 9.29592107199719e-06 	 1.7030435783651967e-08
1.7857 	 9.158090864813908e-06 	 1.5888676030172753e-08
1.8182 	 9.017650896705114e-06 	 1.480489581053997e-08
1.8519 	 8.875492738016146e-06 	 1.3779102090890525e-08
1.8868 	 8.73279984940491e-06 	 1.281285446305013e-08
1.9231 	 8.587220514687821e-06 	 1.1897818066680187e-08
1.9608 	 8.422631284629914e-06 	 1.1037260252127107e-08
2.0 	 8.212835421365967e-06 	 1.0222511536427916e-08
2.0408 	 7.99999686583465e-06 	 9.452629860962081e-09
2.0833 	 7.73943541061842e-06 	 8.725366448785595e-09
2.1277 	 7.466150490965722e-06 	 8.0345950414741e-09
2.1739 	 7.1968224074303105e-06 	 7.3845220324735105e-09
2.2222 	 6.929974690986948e-06 	 6.771479968551712e-09
2.2727 	 6.666178487140665e-06 	 6.196029579874592e-09
2.3256 	 6.410530760311687e-06 	 5.6555299130149915e-09
2.381 	 6.163839579242869e-06 	 5.150419747053417e-09
2.439 	 5.9199130233701045e-06 	 4.679092415473699e-09
2.5 	 5.694872628827628e-06 	 4.239565510817536e-09
2.5641 	 5.479449536223513e-06 	 3.830733940349679e-09
2.6316 	 5.282395603387742e-06 	 3.4527436445569813e-09
2.7027 	 5.08685654197964e-06 	 3.103656794773525e-09
2.7778 	 4.893817025890083e-06 	 2.7810818222170747e-09
2.8571 	 4.702769757781042e-06 	 2.484665645610126e-09
2.9412 	 4.514429311350595e-06 	 2.2118473713690845e-09
3.0303 	 4.315689031471812e-06 	 1.9626895304727934e-09
3.125 	 4.093986301382021e-06 	 1.7344980159113852e-09
3.2258 	 3.875434294002757e-06 	 1.5251810266773447e-09
3.3333 	 3.6802318237136357e-06 	 1.3345739379716469e-09
3.4483 	 3.5073971843498013e-06 	 1.1619758221912465e-09
3.5714 	 3.3616817233458794e-06 	 1.0067495487510703e-09
