3.662 	 5.627149765068058e-20 	 1.0931290572621212e-32
4.883 	 1.0004113391363234e-19 	 6.148223607067087e-33
6.103 	 1.5668803138100743e-19 	 3.936002848119868e-33
7.324 	 2.25533120918482e-19 	 2.7331840768995566e-33
8.545 	 3.0687184501186545e-19 	 2.0080253690664306e-33
9.766 	 4.013401448024123e-19 	 1.5374171443164399e-33
10.986 	 5.07682734670298e-19 	 1.2150173407169499e-33
12.207 	 6.273426827000241e-19 	 9.84202203766983e-34
13.428 	 7.587487764927178e-19 	 8.134374482676527e-34
14.648 	 9.035117114312843e-19 	 6.8365884979890655e-34
15.869 	 1.060940009062658e-18 	 5.8257293136018126e-34
17.09 	 1.2309658775130229e-18 	 5.0236915839988404e-34
18.31 	 1.4147015240062932e-18 	 4.377160077441412e-34
19.531 	 1.6099630935374755e-18 	 3.847567229463828e-34
20.752 	 1.8191445027949624e-18 	 3.408677977084999e-34
21.973 	 2.039591338773823e-18 	 3.0409006816998323e-34
23.193 	 2.2739933532747795e-18 	 2.729896444741028e-34
24.414 	 2.5227610495737707e-18 	 2.4641428153677124e-34
25.635 	 2.782668877271956e-18 	 2.235449459900695e-34
26.855 	 3.056859948763687e-18 	 2.0373871647971746e-34
28.076 	 3.3439402453786652e-18 	 1.8644472993976382e-34
29.297 	 3.643781614913759e-18 	 1.712676320083936e-34
30.517 	 3.958231034608783e-18 	 1.5788586350610181e-34
31.738 	 4.283606320502706e-18 	 1.4600826552056727e-34
32.959 	 4.62598610542965e-18 	 1.354262159654189e-34
34.18 	 4.97912111799375e-18 	 1.2595784339620865e-34
35.4 	 5.3472263968382186e-18 	 1.1745882023913987e-34
36.621 	 5.72841309657818e-18 	 1.097890880230717e-34
37.842 	 6.122508424989356e-18 	 1.0284979170454077e-34
39.062 	 6.531873004233302e-18 	 9.65559188203032e-35
40.283 	 6.954414812430883e-18 	 9.082068540611547e-35
41.504 	 7.392638848369235e-18 	 8.558425791413459e-35
42.724 	 7.843791330760616e-18 	 8.079409926635993e-35
43.945 	 8.3110609098448e-18 	 7.639390801021081e-35
45.166 	 8.791528076567189e-18 	 7.234577187867415e-35
46.387 	 9.285158345700496e-18 	 6.861311329849789e-35
47.607 	 9.794810222444945e-18 	 6.51667222101443e-35
48.828 	 1.0317901270602586e-17 	 6.197296399886599e-35
50.049 	 1.0857465635450664e-17 	 5.901007452822833e-35
51.269 	 1.1410124953974679e-17 	 5.625859952912684e-35
52.49 	 1.197968851591466e-17 	 5.369475919911134e-35
53.711 	 1.2566140062351603e-17 	 5.130379385003223e-35
54.931 	 1.3165863967679447e-17 	 4.907229047467401e-35
56.152 	 1.377927911942072e-17 	 4.698303062476246e-35
57.373 	 1.4409814371892266e-17 	 4.502581419053463e-35
58.594 	 1.5057689036040334e-17 	 4.3189655375683205e-35
59.814 	 1.5722774597282572e-17 	 4.1466274884280277e-35
61.035 	 1.6401856750388503e-17 	 3.9843906572115367e-35
62.256 	 1.709461488596293e-17 	 3.8316090176507413e-35
63.476 	 1.7808910410052532e-17 	 3.6876807501702895e-35
64.697 	 1.8537339812854873e-17 	 3.551713496171747e-35
65.918 	 1.9283843874099953e-17 	 3.4232343333659477e-35
67.138 	 2.0043962749568347e-17 	 3.30180173419389e-35
68.359 	 2.0827013202307367e-17 	 3.1867262634646967e-35
69.58 	 2.1624160330647443e-17 	 3.0776576668545446e-35
70.801 	 2.243986656821463e-17 	 2.974189229311558e-35
72.021 	 2.3273987625686232e-17 	 2.8760220362573274e-35
73.242 	 2.4122593240678523e-17 	 2.782648988304637e-35
74.463 	 2.4994908565617535e-17 	 2.693832834179249e-35
75.683 	 2.5881190446399034e-17 	 2.6093561924628377e-35
76.904 	 2.679193302331601e-17 	 2.5288069300969756e-35
78.125 	 2.7717176949110256e-17 	 2.452007414715527e-35
79.345 	 2.866152388642385e-17 	 2.3787917730108325e-35
80.566 	 2.9631013735155576e-17 	 2.3088236416551238e-35
81.787 	 3.0615167537046313e-17 	 2.2419709750029358e-35
83.008 	 3.161923185466348e-17 	 2.1780501325249437e-35
84.228 	 3.264828197736162e-17 	 2.1169454121078686e-35
85.449 	 3.369258686404398e-17 	 2.058394166113051e-35
86.67 	 3.476269963180713e-17 	 2.0023043386782073e-35
87.89 	 3.5847333586313007e-17 	 1.948585610390833e-35
89.111 	 3.695854150693684e-17 	 1.8970207210152652e-35
90.332 	 3.809625850344725e-17 	 1.8475375560039953e-35
91.552 	 3.924879052364683e-17 	 1.8000637087399052e-35
92.773 	 4.0428594803314135e-17 	 1.7544183009875232e-35
93.994 	 4.1629613753271153e-17 	 1.7105455438205645e-35
95.215 	 4.285198580254536e-17 	 1.668353779660257e-35
96.435 	 4.410142224427627e-17 	 1.6277931532929368e-35
97.656 	 4.5372969411596545e-17 	 1.588715366972326e-35
98.877 	 4.666623352094602e-17 	 1.5510818526711996e-35
100.097 	 4.798717438102304e-17 	 1.5148516461344296e-35
101.318 	 4.933700159738472e-17 	 1.4798982328491067e-35
102.539 	 5.070904021164962e-17 	 1.4461918586807594e-35
103.759 	 5.2109467746866916e-17 	 1.4136993430804725e-35
104.98 	 5.353284465637938e-17 	 1.3823130526715691e-35
106.201 	 5.498544354069424e-17 	 1.352008237240305e-35
107.422 	 5.646757889580372e-17 	 1.3227349616152416e-35
108.642 	 5.797204661329717e-17 	 1.2944734101986794e-35
109.863 	 5.951377917357543e-17 	 1.267129622255736e-35
111.084 	 6.107874392590552e-17 	 1.2406885218561728e-35
112.304 	 6.26734715886764e-17 	 1.2151317306940348e-35
