<<<<<<< HEAD
8.2 	 4.0364486969856995e-06 	 6.646020290310636e-12
8.4 	 4.422629535051138e-06 	 5.388118143223035e-12
8.6 	 4.850589815504111e-06 	 4.334739779819414e-12
=======
7.8 	 3.388821914199406e-06 	 9.843841031001667e-12
8.0 	 3.6918574233590124e-06 	 8.124925116499746e-12
8.2 	 4.0364486969856995e-06 	 6.646020290310636e-12
8.4 	 4.422629535051138e-06 	 5.388118143223035e-12
8.6 	 4.850589815504111e-06 	 4.334739779819416e-12
>>>>>>> ba60a84bbe4094ad49771d90f7732d68f1063d91
8.8 	 5.362261432830436e-06 	 3.4854082043260027e-12
9.0 	 5.95741445464811e-06 	 2.829097366471026e-12
9.2 	 6.6811019487749786e-06 	 2.3583745462358795e-12
9.4 	 7.534059293953033e-06 	 2.0797257205456514e-12
9.6 	 8.563009991265256e-06 	 2.011963877299472e-12
<<<<<<< HEAD
9.8 	 9.892244313562287e-06 	 2.236553211922115e-12
=======
9.8 	 9.892244313562287e-06 	 2.236553211922116e-12
>>>>>>> ba60a84bbe4094ad49771d90f7732d68f1063d91
10.0 	 1.1618747838642545e-05 	 2.8296118022123704e-12
10.2 	 1.3888866338336796e-05 	 3.933389012004813e-12
10.4 	 1.7141591387234892e-05 	 5.902519841921596e-12
10.6 	 2.1524599653898225e-05 	 8.975601105792986e-12
10.8 	 2.6554818856750022e-05 	 1.2864650393484868e-11
11.0 	 3.086810533637173e-05 	 1.6495968553048738e-11
<<<<<<< HEAD
11.2 	 3.351969264696185e-05 	 1.8948445712638128e-11
11.4 	 3.484874938837026e-05 	 2.048278811503808e-11
11.6 	 3.462800896874598e-05 	 2.0702782814961627e-11
=======
11.2 	 3.351969264696185e-05 	 1.8948445712638122e-11
11.4 	 3.484874938837026e-05 	 2.048278811503808e-11
11.6 	 3.462800896874598e-05 	 2.0702782814961617e-11
>>>>>>> ba60a84bbe4094ad49771d90f7732d68f1063d91
11.8 	 3.3469716626577714e-05 	 1.9940963329165534e-11
12.0 	 3.220504460889358e-05 	 1.894492964027421e-11
12.5 	 2.9603156118405263e-05 	 1.674865233287076e-11
13.0 	 2.7426098221313605e-05 	 1.4917194736702234e-11
13.5 	 2.5503001273400703e-05 	 1.3301458581337673e-11
14.0 	 2.3843616407091323e-05 	 1.1903156183835403e-11
14.5 	 2.2449995843052218e-05 	 1.0767545296042065e-11
15.0 	 2.1141238502463747e-05 	 9.867214235477647e-12
15.5 	 1.964424463035617e-05 	 8.991126792497917e-12
<<<<<<< HEAD
16.0 	 1.8047177175391114e-05 	 8.10607306629457e-12
16.5 	 1.6458183649943696e-05 	 7.240754180720255e-12
17.0 	 1.4967727746587452e-05 	 6.4448955978759856e-12
=======
16.0 	 1.8047177175391114e-05 	 8.106073066294566e-12
16.5 	 1.6458183649943696e-05 	 7.240754180720255e-12
17.0 	 1.4967727746587452e-05 	 6.444895597875987e-12
>>>>>>> ba60a84bbe4094ad49771d90f7732d68f1063d91
17.5 	 1.3588314747902069e-05 	 5.717582754682533e-12
18.0 	 1.2299822261993148e-05 	 5.054922362993013e-12
18.5 	 1.1146831172618252e-05 	 4.456883716437898e-12
19.0 	 1.014668967058895e-05 	 3.924890122386459e-12
19.5 	 9.287153150170373e-06 	 3.4577378570860223e-12
20.0 	 8.551326733381341e-06 	 3.054272717152433e-12
21.0 	 7.4978265816693316e-06 	 2.406168467200579e-12
22.0 	 6.854877348831755e-06 	 1.937145235593561e-12
23.0 	 6.454246119165991e-06 	 1.6014506365745444e-12
24.0 	 6.1605710874330775e-06 	 1.3576384150793793e-12
25.0 	 5.873782576557073e-06 	 1.1723396237118851e-12
<<<<<<< HEAD
26.0 	 5.521320537579344e-06 	 1.0236207723614395e-12
=======
26.0 	 5.521320537579344e-06 	 1.02362077236144e-12
>>>>>>> ba60a84bbe4094ad49771d90f7732d68f1063d91
27.0 	 5.125638080844219e-06 	 8.968748538882035e-13
28.0 	 4.69868221829788e-06 	 7.851552734961485e-13
29.0 	 4.281087324619448e-06 	 6.863305249304824e-13
30.0 	 3.894592304098009e-06 	 5.999170002820749e-13
32.0 	 3.246415970498625e-06 	 4.601768226510603e-13
34.0 	 2.7557220971558373e-06 	 3.563611111897485e-13
36.0 	 2.381740761154801e-06 	 2.797124706816618e-13
38.0 	 2.097697140260808e-06 	 2.2249272221529874e-13
40.0 	 1.87033038424228e-06 	 1.792719668164981e-13
45.0 	 1.4825882328032948e-06 	 1.0949383224551994e-13
50.0 	 1.2416023947480488e-06 	 7.055473153157035e-14
<<<<<<< HEAD
60.0 	 9.80951507577553e-07 	 3.3569394690643574e-14
=======
60.0 	 9.80951507577553e-07 	 3.356939469064356e-14
>>>>>>> ba60a84bbe4094ad49771d90f7732d68f1063d91
70.0 	 8.569945163320655e-07 	 1.8239533443966827e-14
80.0 	 7.590506611758113e-07 	 1.0905141574236163e-14
90.0 	 6.667021752611103e-07 	 6.9590062404154995e-15
100.0 	 5.839076339647395e-07 	 4.656184238592867e-15
125.0 	 4.255331407731824e-07 	 1.9863319525673314e-15
150.0 	 3.204872175005333e-07 	 9.855942284309702e-16
175.0 	 2.430461006849956e-07 	 5.42481386050375e-16
<<<<<<< HEAD
200.0 	 1.8785921422813403e-07 	 3.2257563079096613e-16
=======
200.0 	 1.8785921422813403e-07 	 3.2257563079096604e-16
>>>>>>> ba60a84bbe4094ad49771d90f7732d68f1063d91
