x, y
7.218603799509447, 439.3970560760791
7.4604648323946225, 337.7314756368089
7.851162222928779, 220.22016736530463
8.241859613462937, 134.4532715586536
8.539535167605377, 79.43280353782161
8.911628190861194, 39.81072704632251
9.116279069767442, 25.11885801121971
9.562790981558868, 11.787686347935873
10.009301473928053, 5.179474679231212
10.158139250999275, 12.181873005728637
10.325581395348838, 30.599512230689033
10.47441775299782, 63.095742365331205
10.827906408975291, 174.92716264402452
11.032557287881541, 316.22776601683796
11.218603799509447, 652.0573929843762
11.311627055323402, 1103.715226212297
11.460464832394623, 1807.768223282503
11.851162222928778, 2772.408344626129
12.241859613462935, 3490.254003038836
12.911628190861192, 5011.871707378362
13.488372093023258, 6738.625476892757
14.046511627906977, 8767.124973075595
14.75348752043968, 11037.15572450383
15.3116270553234, 10000
15.553488088208574, 5716.665067248542
15.758138967114828, 3981.0727046322513
16.018604367278343, 5716.665067248542
16.33488286927689, 9676.409322889618
16.68837152525436, 11787.686347935867
16.837209302325583, 6963.973155778438
16.967441292696222, 4393.97056076079
17.22790669285974, 4849.692211440274
17.544185194858287, 3059.9493032418873
17.748837493186773, 1807.768223282503
18.027907260628634, 906.030809624485
18.325581395348838, 517.9474679231213
18.753487520439684, 251.18858011219697
19.200000851653346, 110.3715226212298
19.609302609465843, 48.49692211440274
