x, y
8.504901960784313, 41.24626382901352
8.607843137254902, 47.72358183632582
8.740196078431373, 58.780160722749116
8.867647058823529, 72.39832304377228
8.96078431372549, 87.33261623828433
9.058823529411764, 108.69237914057513
9.137254901960784, 132.48659717876453
9.191176470588236, 163.1810349543005
9.240196078431373, 196.84194472866113
9.279411764705882, 237.44641168265974
9.318627450980392, 286.4267496375828
9.362745098039216, 408.18752575472746
9.387254901960784, 529.6413702312635
9.426470588235293, 731.5657987147581
9.465686274509803, 1064.5089600223812
9.504901960784315, 1352.7630102142282
9.549019607843137, 1811.000424179505
9.602941176470589, 2349.853157267199
9.67156862745098, 2986.160333041581
9.75, 3564.8084539992396
9.862745098039216, 3874.6751204561324
9.980392156862745, 3716.513773135054
10.058823529411764, 3383.8551534282333
10.107843137254902, 3178.794430586181
10.166666666666666, 3212.0872263240135
10.21078431372549, 2747.3502343522077
10.23529411764706, 2349.853157267199
10.274509803921568, 2139.521928721579
10.333333333333334, 2424.462017082331
10.372549019607844, 2986.160333041581
10.411764705882353, 3602.1441302422677
10.490196078431373, 3716.513773135054
10.549019607843137, 3915.256155232898
10.598039215686274, 4483.154546235332
10.705882352941178, 5579.642001742652
10.799019607843137, 6322.734962677106
10.906862745098039, 6388.955515220996
10.955882352941178, 6128.163118220534
11, 6455.869622311315
11.073529411764707, 6128.163118220534
11.142156862745098, 5351.8851784916205
11.19607843137255, 4577.554083480506
11.25, 3794.770540045727
11.294117647058824, 3145.8467096143627
11.323529411764707, 2554.111302943642
11.352941176470589, 2095.4001387189032
11.377450980392156, 1755.2698432008217
11.401960784313726, 1455.1103426274863
11.431372549019608, 1098.307582512743
11.455882352941178, 882.4728594001011
11.48529411764706, 673.0608019616556
11.52450980392157, 524.1517179550409
11.568627450980394, 434.5192785352739
11.637254901960784, 360.2144130242264
11.696078431372548, 334.87820092414154
11.740196078431373, 356.48084539992396
11.77450980392157, 399.76977408259415
11.803921568627452, 482.23410150691404
11.823529411764707, 593.9578904572268
11.843137254901961, 709.0530557898196
11.877450980392158, 864.2742694895142
11.92156862745098, 739.227782286594
11.94607843137255, 632.2734962677099
11.955882352941178, 529.6413702312635
11.975490196078432, 439.0701741343195
11.995098039215687, 367.7992672932109
12.014705882352942, 304.90384137929425
12.03921568627451, 247.5512698052776
12.063725490196079, 216.193000452043
12.098039215686274, 184.91337520026372
12.15686274509804, 151.70345614893643
12.220588235294118, 127.07859313704462
12.299019607843137, 107.56579915628015
12.401960784313726, 93.94002658079788
12.495098039215687, 85.53161980897814
12.602941176470589, 77.06866357069043
12.72058823529412, 70.90530557898195
12.813725490196079, 68.01100391137156
12.901960784313726, 63.22734962677102
12.980392156862745, 62.57200776092212
