x, y
7.073825503355705, 2.5543478260869565
8.261744966442953, 3.858695652173913
9.348993288590604, 5.163043478260869
10.536912751677852, 6.956521739130435
11.221476510067113, 9.021739130434781
11.563758389261745, 10.923913043478262
11.805369127516778, 12.01086956521739
11.966442953020135, 12.771739130434781
12.228187919463087, 13.369565217391305
12.630872483221477, 13.695652173913043
12.973154362416107, 14.021739130434783
13.536912751677852, 14.456521739130434
14.302013422818792, 14.51086956521739
14.724832214765101, 14.076086956521738
15.006711409395972, 12.717391304347826
15.187919463087248, 11.521739130434781
15.610738255033556, 10.434782608695652
16.21476510067114, 11.41304347826087
16.416107382550337, 12.5
16.697986577181208, 13.478260869565217
16.93959731543624, 13.91304347826087
17.261744966442954, 13.75
17.38255033557047, 13.478260869565217
17.785234899328856, 13.91304347826087
18.38926174496644, 14.130434782608695
18.93288590604027, 14.021739130434783
19.516778523489933, 13.804347826086957
19.97986577181208, 13.532608695652174
